league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1909,Central Kansas League,regular,P9128369,,,1909-06-14,1909-09-01,18
1909,Central Kansas League,regular,P8292324,Bartley,,1909-08-28,1909-08-28,1
1909,Central Kansas League,regular,P6051373,Brammage,,1909-07-16,1909-07-16,1
1909,Central Kansas League,regular,P6125633,Brummage,,1909-06-15,1909-07-31,15
1909,Central Kansas League,regular,P5842803,Delbert,,1909-08-26,1909-08-26,1
1909,Central Kansas League,regular,P7313542,Delberts,,1909-08-27,1909-08-30,2
1909,Central Kansas League,regular,P8426263,Eddy,,1909-08-31,1909-08-31,1
1909,Central Kansas League,regular,P5380633,Gill,,1909-08-27,1909-08-27,1
1909,Central Kansas League,regular,P3784906,Hamlin,,1909-07-10,1909-08-31,19
1909,Central Kansas League,regular,P4450355,Hamlin,Shorty,1909-06-26,1909-06-26,1
1909,Central Kansas League,regular,P5442837,Hammond,,1909-06-24,1909-06-25,2
1909,Central Kansas League,regular,P6987545,Lein,,1909-07-28,1909-07-28,1
1909,Central Kansas League,regular,P2414934,McKee,,1909-06-14,1909-08-05,20
1909,Central Kansas League,regular,P0469587,Moss,,1909-07-28,1909-07-28,1
1909,Central Kansas League,regular,P0903845,Sigle,,1909-08-24,1909-08-24,1
1909,Central Kansas League,regular,P5709687,Sigler,,1909-06-18,1909-08-07,16
1909,Central Kansas League,regular,P2759933,Woods,,1909-08-31,1909-08-31,1
1909,Central Kansas League,regular,P1606915,Zeigler,,1909-07-31,1909-07-31,1
