key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16
NMBSFXZ,1914-04-21,0,International,regular,,Buffalo,0,,Baltimore,7,,,1:40,,final,,,1914/1914-SL/IL-19140421.txt,,0,0,0,0,0,0,0,0,0,,,,,,,,0,1,0,3,0,1,0,2,x,,,,,,,
DZYWYTX,1914-04-21,0,International,regular,,Montreal,1,,Jersey City,8,"Hulswitt, Rudy",6000,1:40,,final,,,1914/1914-SL/IL-19140421.txt,,0,0,0,0,0,0,1,0,0,,,,,,,,1,0,2,0,0,3,2,0,x,,,,,,,
TTTTFWV,1914-04-21,0,International,regular,,Rochester,2,,Newark,4,,,1:45,,final,,,1914/1914-SL/IL-19140421.txt,,0,0,0,0,0,0,0,0,2,,,,,,,,0,0,0,0,0,0,2,2,x,,,,,,,
VLLFJPY,1914-04-21,0,International,regular,,Toronto,4,,Providence,5,,,1:58,,final,,0,1914/1914-SL/IL-19140421.txt,,1,0,2,0,0,1,0,0,0,,,,,,,,4,0,0,0,0,0,0,0,1,,,,,,,
YSYPDZF,1914-04-22,0,International,regular,,Buffalo,0,,Baltimore,6,,,1:50,,final,,,1914/1914-SL/IL-19140421.txt,,0,0,0,0,0,0,0,0,0,,,,,,,,3,0,3,0,0,0,0,0,x,,,,,,,
YZTHRGB,1914-04-22,0,International,regular,,Montreal,0,,Jersey City,7,,,1:40,,final,,,1914/1914-SL/IL-19140421.txt,,0,0,0,0,0,0,0,0,0,,,,,,,,3,1,0,2,0,0,1,0,x,,,,,,,
YQJZGHW,1914-04-22,0,International,regular,,Rochester,,,Newark,,,,,,postponed,rain,,1914/1914-SL/IL-19140421.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDNPKLG,1914-04-22,0,International,regular,,Toronto,5,,Providence,3,,,1:55,,final,,,1914/1914-SL/IL-19140421.txt,,0,0,0,1,1,0,0,3,0,,,,,,,,1,2,0,0,0,0,0,0,0,,,,,,,
XYCQPBH,1914-04-23,0,International,regular,,Buffalo,5,,Baltimore,3,,,2:03,,final,,,1914/1914-SL/IL-19140421.txt,,0,3,0,0,0,0,1,0,1,,,,,,,,0,0,0,0,0,0,0,2,1,,,,,,,
VXWSBXJ,1914-04-23,0,International,regular,,Montreal,8,,Jersey City,3,,,2:00,,final,,,1914/1914-SL/IL-19140421.txt,,2,0,0,1,0,2,0,1,2,,,,,,,,0,2,0,1,0,0,0,0,0,,,,,,,
RMJXWSM,1914-04-23,0,International,regular,,Rochester,1,,Newark,2,,,1:56,,final,,,1914/1914-SL/IL-19140421.txt,,0,0,0,0,0,0,0,0,1,,,,,,,,0,0,0,1,1,0,0,0,x,,,,,,,
XBWYXVC,1914-04-23,0,International,regular,,Toronto,11,,Providence,13,,,2:30,,final,,,1914/1914-SL/IL-19140421.txt,,1,1,2,4,1,0,1,0,1,,,,,,,,4,1,0,1,4,1,2,0,x,,,,,,,
WYJJKRG,1914-04-24,0,International,regular,,Buffalo,2,,Baltimore,3,,,1:40,,final,,1,1914/1914-SL/IL-19140421.txt,,0,0,0,0,2,0,0,0,0,0,,,,,,,1,0,1,0,0,0,0,0,0,1,,,,,,
VGKSJLV,1914-04-24,0,International,regular,,Montreal,2,"Bransfield, Kitty",Jersey City,0,"Hulswitt, Rudy",,1:35,,final,,,1914/1914-SL/IL-19140421.txt,,1,0,0,1,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,
CWXCZHM,1914-04-24,0,International,regular,,Rochester,1,,Newark,3,,,1:40,,final,,,1914/1914-SL/IL-19140421.txt,,0,1,0,0,0,0,0,0,0,,,,,,,,0,1,0,0,0,0,2,0,x,,,,,,,
CPNVGDF,1914-04-24,0,International,regular,,Toronto,9,,Providence,5,,,1:53,,final,,,1914/1914-SL/IL-19140421.txt,,0,5,0,0,4,0,0,0,0,,,,,,,,0,0,4,0,0,0,0,1,0,,,,,,,
TBFNSQY,1914-04-25,0,International,regular,,Rochester,,,Baltimore,,,,,,postponed,rain,,1914/1914-SL/IL-19140421.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THXSVKS,1914-04-25,0,International,regular,,Toronto,,,Jersey City,,,,,,postponed,rain,,1914/1914-SL/IL-19140421.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KGZBQWV,1914-04-25,0,International,regular,,Montreal,,,Newark,,,,,,postponed,rain,,1914/1914-SL/IL-19140421.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCRTLHL,1914-04-25,0,International,regular,,Buffalo,,,Providence,,,,2:25,,final,,,1914/1914-SL/IL-19140421.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYHNNWN,1914-04-26,0,International,regular,,Rochester,,,Baltimore,,,,,,postponed,rain,,1914/1914-SL/IL-19140421.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMTSYBJ,1914-04-26,0,International,regular,,Toronto,,,Jersey City,,,,,,postponed,rain,,1914/1914-SL/IL-19140421.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DKZZKTX,1914-04-26,0,International,regular,,Montreal,,,Newark,,,,,,postponed,rain,,1914/1914-SL/IL-19140421.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDRLCSK,1914-04-26,0,International,regular,,Buffalo,,,Providence,,,,,,postponed,rain,,1914/1914-SL/IL-19140421.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFQTSLV,1914-04-27,1,International,regular,,Rochester,3,,Baltimore,2,,,1:50,,final,,,1914/1914-SL/IL-19140421.txt,,0,0,0,0,0,0,3,0,0,,,,,,,,1,0,0,0,0,0,1,0,0,,,,,,,
