league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1914,International League,regular,P8784010,Carpenter,,1914-04-21,1914-06-20,57
1914,International League,regular,P9687097,Daily,,1914-06-16,1914-06-17,2
1914,International League,regular,P4666773,Daley,,1914-06-07,1914-06-20,9
1914,International League,regular,P9590768,Daly,,1914-06-06,1914-06-19,7
1914,International League,regular,P2304663,Finneran,,1914-04-21,1914-06-20,52
1914,International League,regular,P2315447,Finnrean,,1914-06-16,1914-06-16,1
1914,International League,regular,P2432326,Halligan,,1914-04-21,1914-06-09,37
1914,International League,regular,P6806783,Harnson,,1914-05-01,1914-05-01,1
1914,International League,regular,P2886895,Harris,,1914-05-02,1914-05-24,3
1914,International League,regular,P6165100,Harrison,,1914-04-21,1914-06-20,48
1914,International League,regular,P7818549,Hart,,1914-04-21,1914-06-20,55
1914,International League,regular,P4222606,Harty,,1914-06-08,1914-06-08,1
1914,International League,regular,P8882385,Marrison,,1914-06-17,1914-06-17,1
1914,International League,regular,P7337852,Mueller,,1914-04-24,1914-04-24,1
1914,International League,regular,P0458067,Mullen,,1914-04-22,1914-06-20,34
1914,International League,regular,P8065879,Mullin,,1914-04-21,1914-06-19,20
1914,International League,regular,P9262560,Nallen,,1914-04-27,1914-04-27,2
1914,International League,regular,P6870372,Nallin,,1914-04-21,1914-06-20,53
1914,International League,regular,P3282090,Nallon,,1914-05-14,1914-05-14,1
1914,International League,regular,P3009562,Perty,,1914-04-29,1914-04-29,1
1914,International League,regular,P6247654,Rorty,,1914-04-21,1914-06-20,54
