game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_GS,P_GF,P_W,P_L,P_SV,P_IP,P_TBF,P_AB,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P4539105,Jones,,McPherson,3b,1,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P3826114,Reed,,McPherson,ss,2,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P9111357,Taylor,,McPherson,cf,3,4,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P3173170,Long,,McPherson,c,4,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P8818689,Johnson,,McPherson,lf,5,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P9130430,Reamer,,McPherson,1b,6,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,3,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P4424605,Burgess,,McPherson,rf,7,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P7326755,White,,McPherson,2b,8,2,0,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,3,0,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P4042297,Clawson,,McPherson,p,9,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,1,,0,3,0,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,,TOTALS,,McPherson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P9858573,Garrison,H.,Minneapolis,cf,1,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P4576612,Young,,Minneapolis,1b,2,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,0,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P4109134,Jennings,,Minneapolis,ss,3,3,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P1533878,Lewis,,Minneapolis,2b,4,4,0,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P0987774,Nye,,Minneapolis,c,5,4,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,0,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P0332582,Garrison,A.,Minneapolis,rf,6,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P1598730,Penwright,,Minneapolis,lf,7,2,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P2212941,McElroy,,Minneapolis,p,8,3,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,0,3,0,,,,
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,,TOTALS,,Minneapolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XJZGMKD,1908,Central Kansas League,1908-06-30,0,regular,P5638586,Bond,,Ellsworth,3b,1,2,1,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,
XJZGMKD,1908,Central Kansas League,1908-06-30,0,regular,P6992167,Taylor [Ell],,Ellsworth,p,2,4,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,0,3,0,,,,
XJZGMKD,1908,Central Kansas League,1908-06-30,0,regular,P0986960,Hayden,,Ellsworth,c,3,4,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,,,,
XJZGMKD,1908,Central Kansas League,1908-06-30,0,regular,P4290835,Watson,,Ellsworth,cf,4,4,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
XJZGMKD,1908,Central Kansas League,1908-06-30,0,regular,P2597495,Stanley,,Ellsworth,rf,5,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
XJZGMKD,1908,Central Kansas League,1908-06-30,0,regular,P1226197,O'Neil,,Ellsworth,1b,6,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,3,,,,
XJZGMKD,1908,Central Kansas League,1908-06-30,0,regular,P8631855,Thompson,,Ellsworth,2b,7,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,
XJZGMKD,1908,Central Kansas League,1908-06-30,0,regular,P5802929,Burton,,Ellsworth,ss,8,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,,,,
XJZGMKD,1908,Central Kansas League,1908-06-30,0,regular,P3399128,Bothwell,,Ellsworth,lf,9,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,
XJZGMKD,1908,Central Kansas League,1908-06-30,0,regular,,TOTALS,,Ellsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XJZGMKD,1908,Central Kansas League,1908-06-30,0,regular,P4539105,Jones,,McPherson,2b,1,4,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,
XJZGMKD,1908,Central Kansas League,1908-06-30,0,regular,P7326755,White,,McPherson,ss,2,4,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,,,,
XJZGMKD,1908,Central Kansas League,1908-06-30,0,regular,P1988917,Taylor [McP],,McPherson,lf,3,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
XJZGMKD,1908,Central Kansas League,1908-06-30,0,regular,P3173170,Long,,McPherson,c,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
