game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first
YJXMTNZ,1909,Central Kansas League,1909-06-14,0,regular,P4489772,Brumage,
VMWSWZK,1909,Central Kansas League,1909-06-15,0,regular,P9373050,Gramley,
TPNXVTK,1909,Central Kansas League,1909-06-16,0,regular,P3947161,Brummage,
CYGSXSC,1909,Central Kansas League,1909-06-17,0,regular,P7486228,Seigler,
CYGSXSC,1909,Central Kansas League,1909-06-17,0,regular,P4489772,Brumage,
QGYYCPV,1909,Central Kansas League,1909-06-18,0,regular,P3489058,Hamlin,
KWRGKXR,1909,Central Kansas League,1909-06-19,0,regular,P3489058,Hamlin,
QQDKQYJ,1909,Central Kansas League,1909-06-26,0,regular,P7219977,,
XMNQKWR,1909,Central Kansas League,1909-06-28,0,regular,P9561236,Siegler,
JHTXHKK,1909,Central Kansas League,1909-06-29,0,regular,P7486228,Seigler,
YXKVMTP,1909,Central Kansas League,1909-06-30,0,regular,P7486228,Seigler,
JWGKJXJ,1909,Central Kansas League,1909-07-03,1,regular,P3489058,Hamlin,
BQPMKVX,1909,Central Kansas League,1909-07-03,2,regular,P3489058,Hamlin,
