league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Blue Ridge League,P2075980,Agnew,,Frederick,1915-06-04,1915-08-17,14,0,0,14,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P9529614,Agney,,Frederick,1915-07-22,1915-07-22,1,0,0,1,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P2266780,Barnhard,,Frederick,1915-05-28,1915-05-28,1,0,0,0,1,0,0,0,0,0,0,0
1915,Blue Ridge League,P1895852,Barnhart,,Frederick,1915-05-29,1915-08-17,16,0,0,0,16,0,0,0,0,0,0,0
1915,Blue Ridge League,P7028691,Barton,,Hagerstown,1915-08-03,1915-08-25,8,7,0,0,1,1,0,0,0,0,0,7
1915,Blue Ridge League,P1163103,Bashore,,Gettysburg,1915-07-03,1915-08-23,7,0,1,0,0,0,6,1,3,2,0,0
1915,Blue Ridge League,P8262487,Basore,,Gettysburg,1915-07-27,1915-08-19,2,0,0,1,0,0,2,0,2,0,0,0
1915,Blue Ridge League,P6559080,Bauer,,Martinsburg,1915-06-07,1915-06-07,1,0,0,1,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P0725850,Beall,,Frederick,1915-05-31,1915-05-31,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P5309781,Bigeler,,Gettysburg,1915-07-03,1915-07-03,1,0,0,0,1,0,0,0,0,0,0,0
1915,Blue Ridge League,P1602288,Bigler,,Gettysburg,1915-06-14,1915-08-23,11,0,0,0,10,0,0,0,0,0,1,0
1915,Blue Ridge League,P0075037,Bitters,,Chambersburg,1915-05-28,1915-06-21,6,6,0,0,0,0,0,0,0,0,0,6
1915,Blue Ridge League,P2097586,Blunt,,Hagerstown,1915-06-07,1915-07-01,16,0,0,0,0,0,6,6,0,0,9,0
1915,Blue Ridge League,P1634117,Bove,,Martinsburg,1915-05-28,1915-05-28,1,0,0,1,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P6296187,Boyd,,Hagerstown,1915-06-25,1915-07-26,7,7,0,0,0,0,0,0,0,0,0,7
1915,Blue Ridge League,P0922455,Boyne,,Frederick,1915-05-28,1915-07-24,12,0,12,0,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P6600152,Boyne,,Gettysburg,1915-08-18,1915-08-23,3,0,3,0,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P9111362,Bream,,Gettysburg,1915-06-10,1915-06-14,2,0,0,0,0,0,2,2,0,0,0,0
1915,Blue Ridge League,P2096323,Brean,,Gettysburg,1915-06-09,1915-06-09,1,0,0,0,0,0,1,1,0,0,0,0
1915,Blue Ridge League,P6622453,Bunting,,Hanover,1915-07-29,1915-08-25,7,0,1,6,0,0,1,0,0,1,0,0
1915,Blue Ridge League,P5710941,Burborrow,,Martinsburg,1915-06-26,1915-06-26,1,0,0,0,0,0,1,0,1,0,0,0
1915,Blue Ridge League,P7292645,Burns,,Gettysburg,1915-06-21,1915-07-03,3,2,0,0,0,0,1,0,0,1,0,2
1915,Blue Ridge League,P8750250,Carroll,,Gettysburg,1915-05-29,1915-05-29,1,0,0,0,0,1,0,0,0,0,0,0
1915,Blue Ridge League,P5725415,Clank,,Hanover,1915-07-10,1915-07-10,1,0,0,0,0,0,1,0,1,0,0,0
1915,Blue Ridge League,P3356390,Clark,,Martinsburg,1915-06-26,1915-08-25,13,13,0,0,0,0,0,0,0,0,0,13
1915,Blue Ridge League,P4466411,Clarke,,Martinsburg,1915-08-21,1915-08-21,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P5441993,Clay,,Chambersburg,1915-06-21,1915-07-14,5,0,0,0,0,0,5,0,0,5,0,0
1915,Blue Ridge League,P8723620,Clay,,Gettysburg,1915-07-27,1915-07-27,1,0,0,0,0,0,1,0,0,1,0,0
1915,Blue Ridge League,P0261755,Clunk,,Hanover,1915-06-11,1915-08-25,13,0,5,1,1,0,8,0,8,0,0,0
1915,Blue Ridge League,P3572470,Colter,,Hagerstown,1915-07-06,1915-07-06,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P8316734,Connelly,,Frederick,1915-08-14,1915-08-17,3,0,0,0,0,3,0,0,0,0,0,0
1915,Blue Ridge League,P4542024,Connolly,,Frederick,1915-08-04,1915-08-13,2,0,0,0,0,2,0,0,0,0,0,0
1915,Blue Ridge League,P2697241,Cook,,Hagerstown,1915-06-21,1915-08-09,41,0,0,0,0,0,41,0,0,41,0,0
