league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1915,Dallas Bankers League,regular,P1574380,Morgan,,1915-04-10,1915-04-10,1
1915,Dallas Bankers League,regular,P7391015,Pondrom,,1915-04-10,1915-04-17,2
1915,Dallas Commercial League,regular,P9838415,Dawkins,,1915-04-10,1915-04-17,2
1915,Dallas Commercial League,regular,P6155065,Lindemood,,1915-04-17,1915-04-17,1
1915,Middle Texas League,regular,P8105954,Burt,,1915-04-16,1915-04-21,7
1915,Middle Texas League,regular,P9734223,Edmonds,,1915-04-20,1915-04-20,1
1915,Middle Texas League,regular,P7306126,Estell,,1915-04-17,1915-04-21,4
1915,Middle Texas League,regular,P5278502,Estil,,1915-04-18,1915-04-18,1
1915,Middle Texas League,regular,P8363922,Estill,,1915-04-15,1915-04-16,2
1915,Middle Texas League,regular,P4418207,Mannery,,1915-04-18,1915-04-18,1
1915,Middle Texas League,regular,P2143500,Manry,,1915-04-24,1915-04-24,1
1915,Middle Texas League,regular,P1835803,McHenry,,1915-04-15,1915-04-16,2
1915,Middle Texas League,regular,P1698979,Mowry,,1915-04-19,1915-04-19,2
1915,Texas League,regular,P9327966,Aiken,,1915-04-08,1915-04-25,10
1915,Texas League,regular,P2256377,Akin,,1915-04-14,1915-04-21,7
1915,Texas League,regular,P4935990,Arnold,,1915-04-08,1915-04-15,8
1915,Texas League,regular,P5824856,Baerwald,,1915-04-16,1915-04-16,1
1915,Texas League,regular,P6552412,Carson,,1915-04-18,1915-04-18,1
1915,Texas League,regular,P5555814,Harben,,1915-04-17,1915-04-17,1
1915,Texas League,regular,P7201648,Hayes,,1915-04-08,1915-04-24,12
1915,Texas League,regular,P9222059,Hays,,1915-04-12,1915-04-13,2
1915,Texas League,regular,P3967714,Martina,,1915-04-17,1915-04-17,1
1915,Texas League,regular,P7270330,McCafferty,,1915-04-25,1915-04-25,1
1915,Texas League,regular,P6710619,Miller,,1915-04-08,1915-04-25,16
1915,Texas League,regular,P8227416,Moore,,1915-04-18,1915-04-18,1
1915,Texas League,regular,P2388720,Pat Wright,,1915-04-23,1915-04-23,1
1915,Texas League,regular,P1466784,Robinson,,1915-04-18,1915-04-18,1
1915,Texas League,regular,P1552043,Wright,,1915-04-08,1915-04-25,14
1915,Western Association,regular,P7876807,Morgan,,1915-04-13,1915-04-25,11
1915,Western Association,regular,P5741301,Pontius,,1915-04-13,1915-04-25,10
1915,Western Association,regular,P1526305,Spence,,1915-04-18,1915-04-18,1
1915,Western Association,regular,P6250867,Spencer,,1915-04-13,1915-04-25,9
1915,Western Association,regular,P5642341,Womack,,1915-04-13,1915-04-25,9
