league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Dallas Bankers League,regular,P4402718,Adams,,City Nationals,1915-04-10,1915-04-17,2,0,0,0,0,0,2,0,2,0,0,0
1915,Dallas Bankers League,regular,P2220205,Alexander,,American Exchange,1915-04-10,1915-04-10,1,1,0,0,0,0,1,0,1,0,0,1
1915,Dallas Bankers League,regular,P5504459,Allison,,American Exchange,1915-04-10,1915-04-10,1,0,1,0,0,0,0,0,0,0,0,0
1915,Dallas Bankers League,regular,P2862482,Anderson,,City Nationals,1915-04-10,1915-04-10,1,0,0,0,0,0,1,1,0,0,0,0
1915,Dallas Bankers League,regular,P6977394,Ayres,,Security,1915-04-17,1915-04-17,1,0,0,0,0,0,1,0,0,1,0,0
1915,Dallas Bankers League,regular,P1012062,Barnett,,Security,1915-04-10,1915-04-17,2,0,0,0,0,2,0,0,0,0,0,0
1915,Dallas Bankers League,regular,P6932943,Bedford,,American Exchange,1915-04-10,1915-04-10,1,0,0,0,0,0,1,1,0,0,0,0
1915,Dallas Bankers League,regular,P0373256,Belew,,American Exchange,1915-04-10,1915-04-10,1,0,0,0,0,0,0,0,0,0,1,0
1915,Dallas Bankers League,regular,P4499439,Bender,,First State,1915-04-10,1915-04-10,1,0,0,0,0,1,0,0,0,0,0,0
1915,Dallas Bankers League,regular,P2936704,Brayles,,Security,1915-04-17,1915-04-17,1,0,0,0,0,0,1,1,0,0,0,0
1915,Dallas Bankers League,regular,P1652110,Broyles,,Security,1915-04-10,1915-04-10,1,0,0,0,0,0,1,1,0,0,0,0
1915,Dallas Bankers League,regular,P4368809,Burlew,,City Nationals,1915-04-10,1915-04-17,2,0,0,0,0,0,0,0,0,0,2,0
1915,Dallas Bankers League,regular,P3418778,Bussye,,First State,1915-04-10,1915-04-10,1,0,1,0,0,0,0,0,0,0,0,0
1915,Dallas Bankers League,regular,P4571726,Carlisle,,First State,1915-04-10,1915-04-10,1,0,0,0,1,0,0,0,0,0,0,0
