key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11
QTZHXST,1910-00-06,0,Central Kansas,regular,,Manhattan,2,,Abilene,3,,,1:35,,final,,,1910/1910-ADC/ADC-19100606.txt,"Abilene Daily Chronicle Jun 7, 1910",0,0,0,1,0,0,1,0,0,,,1,1,1,0,0,0,0,0,x,,
NTFNLVH,1910-05-23,0,Central Kansas,regular,,Beloit,2,,Abilene,5,,,2:00,,final,,,1910/1910-ADC/ADC-19100523.txt,"lene Daily Chronicle May 24, 1910",0,2,0,0,0,0,0,0,0,,,1,0,0,3,0,1,0,0,x,,
SZGFXPP,1910-05-24,0,Central Kansas,regular,,Beloit,6,,Abilene,7,,,,,final,,,1910/1910-ADC/ADC-19100523.txt,"Abilene Daily Chronicle May 25, 1910",3,0,2,0,0,1,0,0,0,,,3,2,2,0,0,0,0,0,x,,
XVYZQPK,1910-05-26,0,Central Kansas,regular,,Concordia,6,,Abilene,10,,,2:00,,final,,,1910/1910-ADC/ADC-19100523.txt,"Abilene Daily Chronicle May 27, 1910",0,0,0,3,0,0,3,0,0,,,0,2,0,1,5,2,0,0,x,,
CXCWYZG,1910-05-27,0,Central Kansas,regular,,Concordia,0,,Abilene,1,,,1:45,,final,,,1910/1910-ADC/ADC-19100523.txt,"Abilene Daily Chronicle May 28, 1910",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,0,x,,
WFLJSYF,1910-06-09,0,Central Kansas,regular,,Abilene,4,,Manhattan,2,,300,1:30,,final,,,1910/1910-ADC/ADC-19100606.txt,"Abilene Daily Chronicle Jun 10, 1910",0,0,0,2,0,1,0,1,0,,,0,0,0,0,2,0,0,0,0,,
JBJPGQZ,1910-06-10,0,Central Kansas,regular,,Abilene,3,,Manhattan,2,,,,,final,,,1910/1910-ADC/ADC-19100606.txt,"Abilene Daily Chronicle Jun 11, 1910",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1
PWPJPFX,1910-06-11,0,Central Kansas,regular,,Abilene,1,,Manhattan,1,,100,1:27,,final,,,1910/1910-ADC/ADC-19100606.txt,"Abilene Daily Chronicle Jun 13, 1910",0,0,1,0,0,0,0,,,,,1,0,0,0,0,0,0,,,,
SKKNPTL,1910-06-13,0,Central Kansas,regular,,Clay Center,4,,Abilene,13,,,,,final,,,1910/1910-ADC/ADC-19100613.txt,"Abilene Daily Chronicle Jun 14, 1910",0,0,1,1,2,0,0,,,,,5,2,0,0,4,2,x,,,,
NDQGXJD,1910-06-14,0,Central Kansas,regular,,Clay Center,6,,Abilene,6,,,2:05,,final,,,1910/1910-ADC/ADC-19100613.txt,"Abilene Daily Chronicle Jun 15, 1910",0,0,0,1,0,0,0,2,3,0,,0,0,0,3,0,0,0,0,3,0,
FKWJWSQ,1910-06-15,0,Central Kansas,regular,,Clay Center,1,,Abilene,6,,,1:25,,final,,,1910/1910-ADC/ADC-19100613.txt,"Abilene Daily Chronicle Jun 16, 1909",0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,6,0,x,,
QCMMRNJ,1910-06-18,0,Central Kansas,regular,,Abilene,4,,Junction City,1,,,,,final,,,1910/1910-ADC/ADC-19100613.txt,"Abilene Daily Chronicle Jun 20, 1910",0,1,1,0,1,0,0,1,0,,,0,0,0,0,0,0,0,0,1,,
RWJQXJS,1910-06-19,0,Central Kansas,regular,,Abilene,7,,Junction City,0,,,,,final,,,1910/1910-ADC/ADC-19100613.txt,"Abilene Daily Chronicle Jun 20, 1910",1,0,3,0,0,0,0,3,0,,,0,0,0,0,0,0,0,0,0,,
KNKWWTL,1910-06-20,0,Central Kansas,regular,,Abilene,1,,Concordia,5,,,2:00,,final,,,1910/1910-ADC/ADC-19100620.txt,"Abilene Daily Chronicle Jun 21, 1910",0,1,0,0,0,0,0,0,0,,,1,0,0,0,3,1,0,0,x,,
YHHKKDX,1910-06-24,0,Central Kansas,regular,,Abilene,3,,Beloit,1,,,1:30,,final,,,1910/1910-ADC/ADC-19100620.txt,"Abilene Daily Chronicle Jun 25, 1910",0,0,0,2,0,0,0,1,0,,,0,0,1,0,0,0,0,0,0,,
