key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9
PLGVBZB,1909-05-11,0,Carolina Association,regular,,Greenville,4,,Charlotte,6,,650,1:35,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090506.txt,"Charlotte Evening Chronicle May 12, 1909",0,0,0,2,1,0,0,1,0,3,0,0,0,1,0,2,0,x
LJLZMLM,1909-06-01,0,Carolina Association,regular,,Greenville,4,,Anderson,7,,,2:00,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090527.txt,"The Evening Chronicle Jun 2, 1909",0,0,2,0,0,1,1,0,0,1,0,0,0,0,2,0,4,x
HJCMPVB,1909-06-02,0,Carolina Association,regular,,Greenville,,,Anderson,,,,,,postponed,rain,,data/boxscores/transcript/1909/1909-CEC/CEC-19090527.txt,"The Evening Chronicle Jun 3, 1909",,,,,,,,,,,,,,,,,,
JDFYBDW,1909-06-02,0,Carolina Association,regular,,Spartanburg,3,,Greensboro,2,,1000,,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090527.txt,"The Evening Chronicle Jun 3, 1909",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
HZFMRHY,1909-06-02,0,Carolina Association,regular,,Charlotte,0,,Winston-Salem,14,,,1:50,,called after 6 innings,allow Winston-Salem to catch train,,data/boxscores/transcript/1909/1909-CEC/CEC-19090527.txt,"The Evening Chronicle Jun 3, 1909",0,0,0,0,0,0,,,,2,1,3,2,1,5,,,
WDZWVBC,1909-06-07,0,Carolina Association,regular,,Charlotte,1,,Greenville,2,,1000,,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090603.txt,"The Evening Chronicle Jun 8, 1909",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,x
FPKHZQJ,1909-06-07,0,Carolina Association,regular,,Greensboro,5,,Spartanburg,3,,,2:00,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090603.txt,"The Evening Chronicle Jun 8, 1909",3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
RYHVPNH,1909-06-07,0,Carolina Association,regular,,Anderson,8,,Winston-Salem,1,,,1:50,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090603.txt,"The Evening Chronicle Jun 8, 1909",,,,,,,,,,,,,,,,,,
NRLFJTC,1909-06-08,0,Carolina Association,regular,,Charlotte,,,Greenville,,,,,,postponed,rain,,data/boxscores/transcript/1909/1909-CEC/CEC-19090603.txt,"The Evening Chronicle Jun 9, 1909",,,,,,,,,,,,,,,,,,
FTHMKRH,1909-06-08,0,Carolina Association,regular,,Greensboro,3,,Spartanburg,5,,,1:30,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090603.txt,"The Evening Chronicle Jun 9, 1909",0,2,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,x
WLJZVZN,1909-06-08,0,Carolina Association,regular,,Anderson,1,,Winston-Salem,6,,,1:35,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090603.txt,"The Evening Chronicle Jun 9, 1909",0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,x
KKSPCZZ,1909-06-09,0,Carolina Association,regular,,Greensboro,8,,Spartanburg,0,,,,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090603.txt,"The Evening Chronicle Jun 10, 1909",3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
HLBNBLJ,1909-06-10,0,Carolina Association,regular,,Spartanburg,5,,Anderson,6,,,1:40,,,,1,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 11, 1909",0,2,0,2,0,0,0,1,0,0,0,1,1,0,0,0,2,2
WTFJLQY,1909-06-10,0,Carolina Association,regular,,Greenville,1,,Winston-Salem,7,,,2:00,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 11, 1909",0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,x
LJHCBFR,1909-06-11,1,Carolina Association,regular,,Spartanburg,4,,Anderson,9,,,1:50,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 12, 1909",0,0,0,2,0,1,0,1,0,0,1,0,0,3,3,0,2,x
XBQNWGB,1909-06-11,0,Carolina Association,regular,,Charlotte,0,,Greensboro,1,,600,1:25,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 11, 1909",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,x
LNQCCMQ,1909-06-11,0,Carolina Association,regular,,Greenville,,,Winston-Salem,,,,,,postponed,rain,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 12, 1909",,,,,,,,,,,,,,,,,,
KXPVQQS,1909-06-12,2,Carolina Association,regular,,Spartanburg,10,,Anderson,3,,,1:55,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 12, 1909",1,0,0,3,0,0,3,3,0,0,0,0,0,0,2,0,0,1
JSFDHGT,1909-06-14,0,Carolina Association,regular,,Winston-Salem,,,Charlotte,,,,,,postponed,rain,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 15, 1909",,,,,,,,,,,,,,,,,,
LLPTWLP,1909-06-14,0,Carolina Association,regular,,Anderson,1,,Greensboro,1,,600,1:10,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 15, 1909",1,0,0,0,0,,,,,0,0,1,0,0,,,,
FLZLVVD,1909-06-14,0,Carolina Association,regular,,Spartanburg,,,Greenville,,,,,,postponed,rain,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 15, 1909",,,,,,,,,,,,,,,,,,
CXLJVDY,1909-06-15,1,Carolina Association,regular,,Winston-Salem,1,,Charlotte,0,,1200,1:53,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 16, 1909",,,,,,,,,,,,,,,,,,
DVKLWWM,1909-06-15,2,Carolina Association,regular,,Winston-Salem,1,,Charlotte,0,,1600,2:07,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 16, 1909",,,,,,,,,,,,,,,,,,
KZTNKHJ,1909-06-15,1,Carolina Association,regular,,Anderson,1,,Greensboro,3,,660,1:30,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 16, 1909",0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,x
BMZCZKF,1909-06-15,2,Carolina Association,regular,,Anderson,6,,Greensboro,1,,1000,1:35,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 16, 1909",4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
PJMTDZJ,1909-06-15,1,Carolina Association,regular,,Spartanburg,0,,Greenville,2,,1000,,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 16, 1909",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,x
DVRGNPF,1909-06-15,2,Carolina Association,regular,,Spartanburg,0,,Greenville,3,,1500,,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 16, 1909",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
WXVQWKB,1909-06-16,0,Carolina Association,regular,,Winston-Salem,0,,Charlotte,10,,550,1:40,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 17, 1909",0,0,0,0,0,0,0,0,0,1,0,2,0,2,4,0,1,x
YLJKBSJ,1909-06-16,0,Carolina Association,regular,,Anderson,0,,Greensboro,6,,600,1:30,,called after 8,allow Anderson to catch train to Greenville,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 17, 1909",0,0,0,0,0,0,0,0,,1,0,3,1,0,0,1,x,
TBKHGYK,1909-06-16,0,Carolina Association,regular,,Spartanburg,0,,Greenville,1,,900,,,,,,data/boxscores/transcript/1909/1909-CEC/CEC-19090610.txt,"The Evening Chronicle Jun 17, 1909",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,x
