key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13
DHBQCDP,1909-04-15,0,Arkansas State,regular,,Helena,2,,Argenta,3,,,1:55,,,,,transcript/1909/1909-AG/boxes/ARSL-19090415.txt,"Arkansas Gazette, April 16, 1909",0,0,2,0,0,0,0,0,0,,,,,0,0,0,0,2,0,0,1,x,,,,
QWVPHKR,1909-04-15,0,Southern Association,regular,,Birmingham,4,,Atlanta,3,,,1:57,,,,,transcript/1909/1909-AG/boxes/SOUA-19090415.txt,"Arkansas Gazette, April 16, 1909",1,2,0,0,0,0,1,0,0,,,,,2,0,0,0,1,0,0,0,0,,,,
PWZWYWH,1909-04-15,0,Southern Association,regular,,Little Rock,1,,Memphis,0,,,1:30,,,,,transcript/1909/1909-AG/boxes/SOUA-19090415.txt,"Arkansas Gazette, April 16, 1909",0,0,0,1,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,
XHCRXRK,1909-04-15,0,Southern Association,regular,,Montgomery,3,,Nashville,4,,,1:50,,,,,transcript/1909/1909-AG/boxes/SOUA-19090415.txt,"Arkansas Gazette, April 16, 1909",0,0,0,1,2,0,0,0,0,,,,,0,0,0,0,0,1,3,0,x,,,,
KZZQQCS,1909-04-15,0,Southern Association,regular,,Mobile,2,,New Orleans,8,,,2:05,,,,,transcript/1909/1909-AG/boxes/SOUA-19090415.txt,"Arkansas Gazette, April 16, 1909",0,0,0,0,0,0,2,0,0,,,,,0,0,0,1,7,0,0,0,x,,,,
TGTCVWF,1909-04-16,0,Arkansas State,regular,,Monroe,5,,Alexandria,6,,,1:50,,,,1,transcript/1909/1909-AG/boxes/ARSL-19090415.txt,"Arkansas Gazette, April 17, 1909",0,0,1,0,0,2,0,0,2,0,,,,0,0,0,0,1,1,1,2,1,,,,
DGJBBWH,1909-04-16,0,Arkansas State,regular,,Helena,1,,Argenta,3,,,1:50,,,,,transcript/1909/1909-AG/boxes/ARSL-19090415.txt,"Arkansas Gazette, April 17, 1909",0,0,1,0,0,0,0,0,0,,,,,0,0,0,3,0,0,0,0,x,,,,
KHKFXPK,1909-04-16,0,Arkansas State,regular,,Jonesboro,8,,Hot Springs,7,,,3:10,,,,,transcript/1909/1909-AG/boxes/ARSL-19090415.txt,"Arkansas Gazette, April 17, 1909",2,2,1,0,0,0,0,1,1,0,0,0,1,0,3,1,0,0,3,0,0,0,0,0,0,0
WPZTWNT,1909-04-16,0,Arkansas State,regular,,Fort Smith,4,,Texarkana,8,,,2:00,,,,,transcript/1909/1909-AG/boxes/ARSL-19090415.txt,"Arkansas Gazette, April 17, 1909",0,0,0,2,0,1,1,0,0,,,,,0,0,5,0,0,1,0,2,x,,,,
FCVPGPX,1909-04-16,0,Southern Association,regular,,Birmingham,1,,Atlanta,6,,,1:32,,,,,transcript/1909/1909-AG/boxes/SOUA-19090415.txt,"Arkansas Gazette, April 17, 1909",0,1,0,0,0,0,0,0,0,,,,,2,3,0,0,1,0,0,0,1,,,,
RSWTVRN,1909-04-16,0,Southern Association,regular,,Little Rock,3,,Memphis,10,,,1:45,,,,,transcript/1909/1909-AG/boxes/SOUA-19090415.txt,"Arkansas Gazette, April 17, 1909",0,0,1,0,0,0,1,0,1,,,,,0,0,0,1,0,4,4,1,x,,,,
RHBJSDS,1909-04-16,0,Southern Association,regular,,Montgomery,2,,Nashville,5,,,1:55,,,,,transcript/1909/1909-AG/boxes/SOUA-19090415.txt,"Arkansas Gazette, April 17, 1909",1,0,0,0,0,0,0,1,0,,,,,0,1,1,2,0,0,1,0,x,,,,
SNMSPZB,1909-04-16,0,Southern Association,regular,,Mobile,1,,New Orleans,4,,,2:00,,,,,transcript/1909/1909-AG/boxes/SOUA-19090415.txt,"Arkansas Gazette, April 17, 1909",0,0,0,0,0,1,0,0,0,,,,,0,2,1,0,0,0,0,1,x,,,,
RKDVWFP,1909-04-17,0,Arkansas State,regular,,Monroe,12,,Alexandria,13,,,2:25,,,,0,transcript/1909/1909-AG/boxes/ARSL-19090415.txt,"Arkansas Gazette, April 18, 1909",0,0,3,0,0,4,3,0,2,,,,,4,0,1,1,1,0,0,0,6,,,,
TMRKSFX,1909-04-17,0,Arkansas State,regular,,Helena,1,,Argenta,2,,,1:40,,,,,transcript/1909/1909-AG/boxes/ARSL-19090415.txt,"Arkansas Gazette, April 18, 1909",0,0,0,0,0,0,1,0,0,,,,,0,0,1,0,0,0,1,0,x,,,,
THWMJKP,1909-04-17,0,Arkansas State,regular,,Jonesboro,3,,Hot Springs,0,,,1:50,,,,,transcript/1909/1909-AG/boxes/ARSL-19090415.txt,"Arkansas Gazette, April 18, 1909",1,0,2,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,
JFNKXTG,1909-04-17,0,Arkansas State,regular,,Fort Smith,5,,Texarkana,4,,,2:00,,,,,transcript/1909/1909-AG/boxes/ARSL-19090415.txt,"Arkansas Gazette, April 18, 1909",1,0,0,0,1,0,3,0,0,,,,,0,0,2,0,1,0,0,1,0,,,,
SLQJGPV,1909-04-17,0,Southern Association,regular,,Birmingham,1,,Atlanta,7,,,,,,,,transcript/1909/1909-AG/boxes/SOUA-19090415.txt,"Arkansas Gazette, April 18, 1909",0,0,1,0,0,0,0,0,0,,,,,0,0,0,4,0,0,0,0,3,,,,
XJBPQWG,1909-04-17,0,Southern Association,regular,,Little Rock,8,,Memphis,3,,,2:05,,,,,transcript/1909/1909-AG/boxes/SOUA-19090415.txt,"Arkansas Gazette, April 18, 1909",3,0,0,0,0,0,2,1,2,,,,,0,0,0,0,0,0,0,3,0,,,,
CWCTPHG,1909-04-17,0,Southern Association,regular,,Montgomery,9,,Nashville,7,,,2:00,,,,,transcript/1909/1909-AG/boxes/SOUA-19090415.txt,"Arkansas Gazette, April 18, 1909",0,2,0,1,0,5,0,1,0,,,,,0,0,1,5,0,1,0,0,0,,,,
ZPPHBSX,1909-04-17,0,Southern Association,regular,,Mobile,0,,New Orleans,1,,,1:40,,,,,transcript/1909/1909-AG/boxes/SOUA-19090415.txt,"Arkansas Gazette, April 18, 1909",0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,x,,,,
BRVBJDF,1909-04-18,0,Arkansas State,regular,,Monroe,1,,Alexandria,11,,,1:25,,,,,transcript/1909/1909-AG/boxes/ARSL-19090415.txt,"Arkansas Gazette, April 19, 1909",0,0,0,0,0,0,0,0,1,,,,,1,0,1,0,0,8,0,1,x,,,,
TVXNZLL,1909-04-18,0,Arkansas State,regular,,Jonesboro,1,,Hot Springs,3,,,1:45,,,,,transcript/1909/1909-AG/boxes/ARSL-19090415.txt,"Arkansas Gazette, April 19, 1909",1,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,2,x,,,,
GRCVKBR,1909-04-18,0,Arkansas State,regular,,Fort Smith,4,,Texarkana,1,,,1:45,,,,,transcript/1909/1909-AG/boxes/ARSL-19090415.txt,"Arkansas Gazette, April 19, 1909",0,0,0,0,0,2,0,0,2,,,,,0,0,0,0,1,0,0,0,0,,,,
TGNTGBZ,1909-04-18,0,Southern Association,regular,,Little Rock,5,,Memphis,1,,,1:35,,,,,transcript/1909/1909-AG/boxes/SOUA-19090415.txt,"Arkansas Gazette, April 19, 1909",0,1,2,0,0,0,2,0,0,,,,,0,0,0,0,0,1,0,0,0,,,,
