key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12
TVZPNWH,1910-05-17,0,Central Kansas,regular,,Clay Center,7,,Concordia,4,,750,2:10,,final,,,1910/1910-CBE/CBE-19100516.txt,"Concordia Blade-Empire May 18, 1910",1,0,0,0,3,0,0,0,0,3,,,0,0,0,0,4,0,0,0,0,0,,
LVLRWBK,1910-05-19,0,Central Kansas,regular,,Manhattan,5,,Concordia,2,,,,,final,,,1910/1910-CBE/CBE-19100516.txt,"Concordia Blade-Empire May 20, 1910",,,,,,,,,,,,,,,,,,,,,,,,
STNGNPF,1910-05-20,0,Central Kansas,regular,,Manhattan,8,,Concordia,7,,,2:10,,final,,,1910/1910-CBE/CBE-19100516.txt,"Concordia Blade-Empire May 21, 1910",,,,,,,,,,,,,,,,,,,,,,,,
KFXQBXY,1910-05-21,0,Central Kansas,regular,,Manhattan,1,,Concordia,5,,,1:45,,final,,,1910/1910-CBE/CBE-19100516.txt,"Concordia Blade-Empire May 23, 1910",0,1,0,0,0,0,0,,,,,,0,1,0,2,2,0,0,,,,,
DZVCYDP,1910-05-31,1,Central Kansas,regular,,Beloit,0,,Concordia,8,,,2:30,,final,,,1910/1910-CBE/CBE-19100530.txt,"Concordia Blade-Empire Jun 1, 1910",0,0,0,0,0,0,0,0,0,,,,0,0,0,2,1,1,4,0,0,,,
BNWGHCP,1910-05-31,2,Central Kansas,regular,,Beloit,4,,Concordia,1,,,1:30,,final,,,1910/1910-CBE/CBE-19100530.txt,"Concordia Blade-Empire Jun 1, 1910",0,0,0,3,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,1,,,
YXGDNTR,1910-06-06,0,Central Kansas,regular,,Ellsworth,1,,Concordia,4,,,1:40,,final,,,1910/1910-CBE/CBE-19100606.txt,"Concordia Blade-Empire Jun 7, 1910",,,,,,,,,,,,,,,,,,,,,,,,
QVNHFWF,1910-07-01,0,Central Kansas,regular,,Concordia,4,,Clay Center,7,,,1:40,,final,,,1910/1910-CBE/CBE-19100627.txt,"Concordia Blade-Empire Jul 2, 1910",,,,,,,,,,,,,,,,,,,,,,,,
NKLTPJG,1910-07-05,0,Central Kansas,regular,,Beloit,5,,Concordia,1,,,1:45,,final,,,1910/1910-CBE/CBE-19100704.txt,"Concordia Blade-Empire Jul 6, 1910",2,3,0,0,0,0,0,0,0,,,,0,0,0,0,0,1,0,0,0,,,
DLSFCWV,1910-07-07,0,Central Kansas,regular,,Salina,4,,Concordia,5,,,2:00,,final,,~2,1910/1910-CBE/CBE-19100704.txt,"Concordia Blade-Empire Jul 8, 1910",0,0,2,0,1,0,0,1,0,,,,0,1,0,0,0,2,0,0,2,,,
KFXXNHX,1910-07-08,0,Central Kansas,regular,,Salina,6,,Concordia,0,,,1:55,,final,,,1910/1910-CBE/CBE-19100704.txt,"Concordia Blade-Empire Jul 9, 1910",1,0,0,0,1,0,4,0,0,,,,0,0,0,0,0,0,0,0,0,,,
YLCGNKN,1910-07-14,0,Central Kansas,regular,,Manhattan,0,,Concordia,3,,,1:40,,final,,,1910/1910-CBE/CBE-19100711.txt,"Concordia Blade-Empire Jul 15, 1910",0,0,0,0,0,0,0,0,0,,,,0,0,1,1,0,1,0,0,x,,,
QFDPSLC,1910-07-15,0,Central Kansas,regular,,Manhattan,0,,Concordia,3,,,1:45,,final,,,1910/1910-CBE/CBE-19100711.txt,"Concordia Blade-Empire Jul 16, 1910",,,,,,,,,,,,,,,,,,,,,,,,
QRBDLJR,1910-07-16,0,Central Kansas,regular,,Manhattan,1,,Concordia,2,,,2:20,,final,,,1910/1910-CBE/CBE-19100711.txt,"Concordia Blade-Empire Jul 18, 1910",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
VSCWVVK,1910-07-17,0,Central Kansas,regular,,Concordia,3,,Junction City,2,,,,,final,,,1910/1910-CBE/CBE-19100718.txt,"Concordia Blade-Empire Jul 22, 1910",,,,,,,,,,,,,,,,,,,,,,,,
NGXSGFZ,1910-07-18,0,Central Kansas,regular,,Concordia,4,,Junction City,1,,,,,final,,,1910/1910-CBE/CBE-19100718.txt,"Concordia Blade-Empire Jul 20, 1910",,,,,,,,,,,,,,,,,,,,,,,,
MCKKRQB,1910-07-20,0,Central Kansas,regular,,Concordia,2,,Junction City,2,,,,,final,,,1910/1910-CBE/CBE-19100718.txt,"Concordia Blade-Empire Jul 21, 1910",0,1,0,0,1,0,0,0,0,0,0,,1,0,0,1,0,0,0,0,0,0,0,
BXDBSTM,1910-07-22,0,Central Kansas,regular,,Concordia,1,,Abilene,2,,,1:45,,final,,,1910/1910-CBE/CBE-19100718.txt,"Concordia Blade-Empire Jul 23, 1910",1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,2,0,,,
QGLWDXP,1910-07-23,0,Central Kansas,regular,,Abilene,3,,Concordia,7,,,1:55,,final,,,1910/1910-CBE/CBE-19100718.txt,"Concordia Blade-Empire Jul 25, 1910",0,0,0,1,0,0,0,0,2,,,,0,2,0,0,0,0,2,3,x,,,
KPKFLCC,1910-08-01,1,Central Kansas,regular,,Ellsworth,2,,Concordia,7,,500,1:55,,final,,,1910/1910-CBE/CBE-19100801.txt,"The Concordia Blade-Empire Aug 2, 1910",0,2,0,0,0,0,0,0,0,,,,1,0,1,0,4,1,0,0,x,,,
CKPXQXK,1910-08-01,2,Central Kansas,regular,,Ellsworth,2,,Concordia,1,,,1:30,,final,,,1910/1910-CBE/CBE-19100801.txt,"The Concordia Blade-Empire Aug 2, 1910",,,,,,,,,,,,,,,,,,,,,,,,
MRPRRSM,1910-08-02,0,Central Kansas,regular,,Ellsworth,2,,Concordia,15,,,2:05,,final,,,1910/1910-CBE/CBE-19100801.txt,"The Concordia Blade-Empire Aug 3, 1910",,,,,,,,,,,,,,,,,,,,,,,,
NGGGQXC,1910-08-04,0,Central Kansas,regular,,Concordia,5,,Chapman,0,,,,,final,,,1910/1910-CBE/CBE-19100801.txt,"Concirdia Blade-Empire Aug 5, 1910",0,0,0,2,2,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
YDPKMNH,1910-08-05,0,Central Kansas,regular,,Concordia,4,,Chapman,5,,,,,final,,,1910/1910-CBE/CBE-19100801.txt,"Concordia Blade-Empire Aug 6, 1910",0,0,1,3,0,0,0,0,0,,,,1,0,0,1,0,0,0,0,3,,,
WLBXYYS,1910-08-08,0,Central Kansas,regular,,Junction City,0,,Concordia,0,,,1:10,,completed early,rain,,1910/1910-CBE/CBE-19100808.txt,"Concordia Blade-Empire Aug 9, 1910",,,,,,,,,,,,,,,,,,,,,,,,
WBHXLMK,1910-08-09,0,Central Kansas,regular,,Junction City,4,,Concordia,3,,,1:55,,final,,,1910/1910-CBE/CBE-19100808.txt,"Concordia Blade-Empire Aug 10, 1910",,,,,,,,,,,,,,,,,,,,,,,,
ZJXPGLD,1910-08-10,1,Central Kansas,regular,,Junction City,0,,Concordia,2,,,2:05,,final,,,1910/1910-CBE/CBE-19100808.txt,"Concordia Blade-Empire Aug 11, 1910",,,,,,,,,,,,,,,,,,,,,,,,
YZRKNTB,1910-08-10,2,Central Kansas,regular,,Junction City,2,,Concordia,2,,,1:55,,final,,,1910/1910-CBE/CBE-19100808.txt,"Concordia Blade-Empire Aug 11, 1910",,,,,,,,,,,,,,,,,,,,,,,,
