key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15
BPRXGWS,1915-05-06,0,New York State,regular,,Utica,4,,Albany,1,,,1:50,,,,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 7, 1915",0,0,0,0,0,3,0,0,1,,,,,,,0,0,0,0,0,0,0,0,1,,,,,,
KZHYJDT,1915-05-06,0,New York State,regular,,Scranton,5,,Binghamton,6,,,2:15,,,,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 7, 1915",0,0,0,0,0,0,0,1,4,,,,,,,0,1,3,0,0,2,0,0,x,,,,,,
JXCGNZG,1915-05-06,0,New York State,regular,,Wilkes-Barre,5,,Elmira,6,,,1:45,,,,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 7, 1915",0,0,0,0,0,0,0,1,4,,,,,,,0,1,3,0,0,2,0,0,x,,,,,,
LMXBCHH,1915-05-06,0,New York State,regular,,Syracuse,2,,Troy,7,,,1:53,,,,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 7, 1915",0,0,0,0,2,0,0,0,0,,,,,,,0,4,0,0,2,0,1,0,x,,,,,,
BQMVHDS,1915-05-07,0,New York State,regular,,Utica,,,Albany,,,,,,postponed,rain,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWZGPYV,1915-05-07,0,New York State,regular,,Scranton,,,Binghamton,,,,,,postponed,rain,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PXNVHFB,1915-05-07,0,New York State,regular,,Wilkes-Barre,4,,Elmira,1,,,1:47,,,,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 8, 1915",4,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,
CWZNNXS,1915-05-07,0,New York State,regular,,Syracuse,,,Troy,,,,,,postponed,rain,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WMTNXJJ,1915-05-08,0,New York State,regular,,Utica,,,Albany,,,,,,,,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 10, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKFGFZR,1915-05-08,0,New York State,regular,,Scranton,,,Binghamton,,,,,,,,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 10, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMWJSZQ,1915-05-08,0,New York State,regular,,Wilkes-Barre,2,,Elmira,4,,,1:47,,,,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 10, 1915",0,1,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,2,2,0,x,,,,,,
GZMWVWS,1915-05-08,0,New York State,regular,,Syracuse,,,Troy,,,,,,,,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 10, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRHZBHP,1915-05-09,0,New York State,regular,,Syracuse,1,,Albany,2,,,2:01,,,,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 10, 1915",0,0,0,0,0,1,0,0,0,,,,,,,0,0,1,0,0,1,0,0,x,,,,,,
PBKPDWM,1915-05-09,0,New York State,regular,,Wilkes-Barre,5,,Binghamton,0,,,2:10,,,,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 10, 1915",1,0,1,0,2,1,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,
SSKHTZQ,1915-05-09,0,New York State,regular,,Scranton,3,,Elmira,14,,,1:59,,,,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 10, 1915",1,0,0,2,0,0,0,0,0,,,,,,,2,7,1,0,1,6,0,0,x,,,,,,
VGWTQVG,1915-05-09,0,New York State,regular,,Utica,6,,Troy,7,,,2:20,,,,2,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 10, 1915",2,0,0,0,1,2,0,0,0,1,,,,,,0,0,0,0,4,0,0,0,2,1,,,,,
NMDWLRZ,1915-05-10,0,New York State,regular,,Syracuse,1,,Albany,3,,,1:58,,,,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 11, 1915",0,0,0,0,0,1,0,0,0,,,,,,,1,0,1,0,1,0,0,0,x,,,,,,
KBVTMYH,1915-05-10,0,New York State,regular,,Wilkes-Barre,3,,Binghamton,9,,,1:55,,,,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 11, 1915",0,0,0,0,0,3,0,0,0,,,,,,,5,0,0,1,0,3,0,0,x,,,,,,
XTJBSGK,1915-05-10,0,New York State,regular,,Scranton,13,,Elmira,10,,,2:25,,,,,transcript/1915/1915-ESG/boxes/ESG-19150506.txt,"Elmira Star-Gazette, May 11, 1915",2,0,0,7,1,0,2,1,0,,,,,,,0,0,0,0,4,3,2,1,0,,,,,,
