league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1915,New York State League,regular,P2555708,Dougherty,,1915-05-06,1915-08-25,82
1915,New York State League,regular,P5698010,Frill,,1915-07-12,1915-07-12,1
1915,New York State League,regular,P5506264,Jimmy Mullin,,1915-07-29,1915-07-29,2
1915,New York State League,regular,P5768128,Johnson,,1915-05-06,1915-08-25,83
1915,New York State League,regular,P3671799,Kuhn,,1915-05-06,1915-08-25,89
1915,New York State League,regular,P8439767,McBride,,1915-05-06,1915-08-25,82
1915,New York State League,regular,P2977222,O'Connor,,1915-05-06,1915-08-18,81
1915,New York State League,regular,P5854591,Pender,,1915-05-06,1915-08-25,83
1915,New York State League,regular,P6922644,Rapp,,1915-07-12,1915-07-12,1
1915,New York State League,regular,P3268919,Tom Philbin,,1915-07-29,1915-08-19,3
