key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13
HDFKFJL,1911-05-11,0,Kansas State,regular,,Larned,4,,El Dorado,2,,,2:09,,final,,,1911/1911-THN/THN-19110511.txt,"The Hutchinson News May 12, 1911",1,0,0,0,2,0,1,0,0,,,,,0,0,0,0,0,0,2,0,0,,,,
WPGVBCL,1911-05-11,0,Kansas State,regular,,Lyons,10,,Hutchinson,8,,1800,,,final,,,1911/1911-THN/THN-19110511.txt,"The Hutchinson News May 12, 1911",,,,,,,,,,,,,,,,,,,,,,,,,,
TBHCJQX,1911-05-11,0,Kansas State,regular,,McPherson,7,,Newton,3,,1000,1:45,,final,,,1911/1911-THN/THN-19110511.txt,"The Hutchinson News May 12, 1911",1,2,0,0,3,1,0,0,0,,,,,2,0,1,0,0,0,0,0,0,,,,
TGPLSGW,1911-05-12,0,Kansas State,regular,,Larned,2,,El Dorado,1,,,,,final,,,1911/1911-THN/THN-19110511.txt,"The Hutchinson News May 13, 1911",0,0,0,0,0,2,0,0,0,,,,,0,0,0,0,0,0,0,0,1,,,,
KNYWZSQ,1911-05-12,0,Kansas State,regular,,Lyons,2,,Hutchinson,0,,,2:00,,final,,,1911/1911-THN/THN-19110511.txt,"The Hutchinson News May 13, 1911",0,0,0,0,0,0,0,0,0,0,2,,,0,0,0,0,0,0,0,0,0,0,0,,
NZWHKKW,1911-05-12,0,Kansas State,regular,,McPherson,0,,Newton,3,,,1:45,,final,,,1911/1911-THN/THN-19110511.txt,"The Hutchinson News May 13, 1911",0,0,0,0,0,0,0,0,0,,,,,2,0,0,0,0,0,0,1,x,,,,
QKCMZVY,1911-05-12,0,Kansas State,regular,,Great Bend,3,,Wellington,2,,,,,final,,,1911/1911-THN/THN-19110511.txt,"The Hutchinson News May 13, 1911",0,0,2,1,0,0,0,0,0,,,,,0,0,0,1,0,0,1,0,0,,,,
WNRRBKX,1911-05-13,0,Kansas State,regular,,Larned,2,,El Dorado,4,,,,,final,,,1911/1911-THN/THN-19110511.txt,"The Hutchinson News May 15, 1911",0,0,0,0,0,0,0,0,2,,,,,1,0,0,0,0,0,0,3,x,,,,
JDPKVPV,1911-05-13,0,Kansas State,regular,,Lyons,3,,Hutchinson,5,,500,1:52,,final,,,1911/1911-THN/THN-19110511.txt,"The Hutchinson News May 15, 1911",0,1,0,0,0,0,2,0,0,,,,,0,0,3,0,0,0,0,2,x,,,,
PMSVVFR,1911-05-13,0,Kansas State,regular,,McPherson,2,,Newton,4,,,1:35,,final,,,1911/1911-THN/THN-19110511.txt,"The Hutchinson News May 15, 1911",0,0,0,0,1,0,1,0,0,,,,,0,0,1,0,0,0,0,3,x,,,,
