game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_GS,P_GF,P_W,P_L,P_SV,P_IP,P_TBF,P_AB,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,P1885798,Howell,,Beloit,cf,1,3,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,P6673420,Culver,,Beloit,ph,10,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,P0145272,Leach,,Beloit,ph,11,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,P7053874,Armin,,Beloit,3b,2,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,,,,
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,P5944192,Ebright,,Beloit,2b,3,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,1,2,,,
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,P0667194,Johnson,,Beloit,ss,4,3,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,,,,
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,P3740801,Gundlach,,Beloit,1b,5,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,0,1,,,
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,P2631616,Griffin,,Beloit,lf,6,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,P1844690,Mead,,Beloit,c,7,3,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,P3891754,Darrow,,Beloit,rf,8,3,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,,,
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,P1935512,Mitchell [Bel],,Beloit,p,9,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,0,1,0,1,,,
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,,TOTALS,,Beloit,,,31,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,15,2,,,,
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,P7922726,Foe,F.,Manhattan,c,1,4,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,0,,,,
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,P5923778,Stewart,,Manhattan,cf,2,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,P9600770,Koehler,,Manhattan,lf,3,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,
XTTRLFT,1909,Central Kansas League,1909-06-21,0,regular,P4945076,Wilson,,Manhattan,1b,4,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,1,1,,,
