game.key,league.year,league.name,game.date,game.number,game.phase,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Demaggio,,Phoenix,lf,1,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Brown,,Phoenix,ph,10,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Dowling,,Phoenix,2b,2,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,McArdle,,Phoenix,ss,3,2,0,,1,,,,,,,,,,,,,,,,,,,,,,,4,3,1,1,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Lynn,,Phoenix,c,4,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,8,3,0,2,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Pittman,,Phoenix,cf,5,3,2,,3,,,,,,,,,,3,,,,,,,,,,,,,2,0,1,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Nutt,,Phoenix,1b,6,5,0,,1,1,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Scanlon,,Phoenix,3b,7,5,0,,2,,,,,,,,,,2,,,,,,,,,,,,,1,0,1,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Young,,Phoenix,rf,8,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Hall,,Phoenix,p,9,3,0,,0,,,,,,,,,,,,,,,,,,,7,,,,2,0,0,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,TOTALS,,Phoenix,,,37,2,,11,,,,,,,,,,,,,,,,,,,,,,,24,10,3,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Stadelli,,Tucson,lf,1,5,2,,3,2,,,,,,,,,,,,,,,,,,,,,,1,2,0,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,McGeehan,,Tucson,3b,2,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Cox,,Tucson,rf,3,4,2,,3,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Felts,,Tucson,cf,4,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Fuller,,Tucson,c,5,4,2,,2,,,,,,,,,,,,,,,,,,,,,,,10,1,1,,,1,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Brashear,,Tucson,1b,6,4,1,,2,1,,,,,,,,,,,,,,,,,,,,,,7,1,0,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Barton,,Tucson,ss,7,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,4,2,1,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Stroloff,,Tucson,2b,8,4,1,,2,1,,,,,,,,,,,,,,,,,,,,,,1,2,0,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,Fulweider,,Tucson,p,9,4,0,,0,,,,,,,,,,,,,,,,,,4,7,,,,1,3,0,,,,
0606691a-237c-5d65-9886-835feab58f1e,1915,Rio Grande Association,1915-04-27,0,regular,TOTALS,,Tucson,,,38,10,,16,,,,,,,,,,,,,,,,,,,,,,,27,12,2,,,,
8d9db958-2197-5b5d-a2e9-0e6e06e9c29b,1915,Rio Grande Association,1915-04-29,0,regular,Demaggio,,Phoenix,lf,1,5,1,,1,1,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
8d9db958-2197-5b5d-a2e9-0e6e06e9c29b,1915,Rio Grande Association,1915-04-29,0,regular,Dowling,,Phoenix,2b,2,5,1,,3,2,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,,,
8d9db958-2197-5b5d-a2e9-0e6e06e9c29b,1915,Rio Grande Association,1915-04-29,0,regular,McArdle,,Phoenix,ss,3,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,2,5,2,1,,,
8d9db958-2197-5b5d-a2e9-0e6e06e9c29b,1915,Rio Grande Association,1915-04-29,0,regular,Lynn,,Phoenix,c,4,4,1,,1,1,,,,,,,,,,,,,,,,,,,,,,6,1,0,1,,,
8d9db958-2197-5b5d-a2e9-0e6e06e9c29b,1915,Rio Grande Association,1915-04-29,0,regular,Pittman,,Phoenix,cf,5,4,1,,2,1,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,
8d9db958-2197-5b5d-a2e9-0e6e06e9c29b,1915,Rio Grande Association,1915-04-29,0,regular,Nutt,,Phoenix,rf,6,4,1,,1,1,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
8d9db958-2197-5b5d-a2e9-0e6e06e9c29b,1915,Rio Grande Association,1915-04-29,0,regular,Scanlon,,Phoenix,1b,7,4,1,,0,,,,,,,,,,,,,,,,,,,,,,,9,1,0,2,,,
8d9db958-2197-5b5d-a2e9-0e6e06e9c29b,1915,Rio Grande Association,1915-04-29,0,regular,Young,,Phoenix,3b,8,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,2,1,,,,
8d9db958-2197-5b5d-a2e9-0e6e06e9c29b,1915,Rio Grande Association,1915-04-29,0,regular,McCreary,,Phoenix,p,9,4,0,,1,,,,,,,,,,,,,,,,,,3,5,,,,3,5,0,,,,
8d9db958-2197-5b5d-a2e9-0e6e06e9c29b,1915,Rio Grande Association,1915-04-29,0,regular,TOTALS,,Phoenix,,,39,6,,10,,,,,,,,,,,,6,3,,,,,,,,,,27,15,3,,,,
8d9db958-2197-5b5d-a2e9-0e6e06e9c29b,1915,Rio Grande Association,1915-04-29,0,regular,Stadilli,,Tucson,lf,1,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,
8d9db958-2197-5b5d-a2e9-0e6e06e9c29b,1915,Rio Grande Association,1915-04-29,0,regular,Fulweider,,Tucson,p,10,2,0,,0,,,,,,,,,,,,,,5.2,,,4,,3,,,,1,1,0,,,,
