game.key,league.year,league.name,game.date,game.number,game.phase,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_TBF,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Butts,,Durham,rf,1,4,1,,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Covington,,Durham,p,10,1,0,,0,,,,,,,,,,,,,,3.1,,,,3,5,1,,,,0,0,0,,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Adkinson,,Durham,p,11,4,0,,0,,,,,,,,,,,,,,10.1,,,,5,4,5,,,,0,0,0,,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Angier,,Durham,cf,2,5,0,,0,,,,,,,,1,,,,,,,,,,,,,,,,2,1,0,,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Morpeth,,Durham,1b,3,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,3,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Hiller,,Durham,3b,4,5,0,,0,,,,,,,,,,,,,,,,,,,,,,,,5,6,1,1,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Kelly [ss],,Durham,ss,5,4,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,1,0,1,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Litchfield,,Durham,lf,6,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Dayton,,Durham,lf,7,0,0,,0,,,,,,,,,,1,,,,,,,,,,,,,,1,0,0,,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Duggan,,Durham,2b,8,5,0,,0,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,2,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Boyle,,Durham,c,9,4,0,,1,,1,,,,,,,,,,,,,,,,,,,,,,7,2,0,,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,TOTALS,,Durham,,,41,3,,4,,,,,,,,,,,,5,2,,,,,,,,,,,38,18,1,,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Dysert,,Raleigh,lf,1,4,2,,0,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Mack,,Raleigh,1b,2,4,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,14,1,0,,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Schuyler,,Raleigh,cf,3,5,0,,0,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Farmer,,Raleigh,rf,4,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
CQBHJDY,1915,North Carolina State League,1915-04-22,0,regular,Perkins,,Raleigh,c,5,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,10,3,0,,,,
