key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14
TRYPSDN,1915-05-27,0,Blue Ridge,regular,,Hagerstown,3,,Chambersburg,1,,,,,,,,transcript/1915/1915-HES/boxes/BLRI-19150527.txt,"Hanover Evening Sun, May 28, 1915",0,1,0,0,1,0,0,1,0,,,,,,0,0,1,0,0,0,0,0,0,,,,,
KHCWVKR,1915-05-27,0,Blue Ridge,regular,,Martinsburg,3,,Frederick,14,,,,,,,,transcript/1915/1915-HES/boxes/BLRI-19150527.txt,"Hanover Evening Sun, May 28, 1915",0,0,0,0,0,0,3,0,0,,,,,,0,2,4,2,1,1,4,0,0,,,,,
ZMXSQRN,1915-05-27,0,Blue Ridge,regular,,Gettysburg,5,,Hanover,0,,,2:00,,,,,transcript/1915/1915-HES/boxes/BLRI-19150527.txt,"Hanover Evening Sun, May 28, 1915",0,3,0,2,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,
GNPHHXZ,1915-05-28,0,Blue Ridge,regular,,Hanover,5,,Gettysburg,1,,1000,1:50,,,,,transcript/1915/1915-HES/boxes/BLRI-19150527.txt,"Hanover Evening Sun, May 29, 1915",0,0,0,0,4,0,0,0,1,,,,,,0,0,1,0,0,0,0,0,0,,,,,
DDJZJQQ,1915-06-04,0,Blue Ridge,regular,,Gettysburg,,,Chambersburg,,,,,,,,,transcript/1915/1915-HES/boxes/BLRI-19150531.txt,"Hanover Evening Sun, June 5, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLDVGPL,1915-06-04,0,Blue Ridge,regular,,Frederick,,,Hagerstown,,,,,,,,,transcript/1915/1915-HES/boxes/BLRI-19150531.txt,"Hanover Evening Sun, June 5, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMVFTRN,1915-06-04,0,Blue Ridge,regular,,Martinsburg,1,,Hanover,3,,,1:45,,,,,transcript/1915/1915-HES/boxes/BLRI-19150531.txt,"Hanover Evening Sun, June 5, 1915",0,0,0,1,0,0,0,0,0,,,,,,0,0,0,0,0,2,1,0,x,,,,,
LNRVWQZ,1915-06-05,0,Blue Ridge,regular,,Gettysburg,,,Chambersburg,,,,,,,,,transcript/1915/1915-HES/boxes/BLRI-19150531.txt,"Hanover Evening Sun, June 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDDXQVY,1915-06-05,0,Blue Ridge,regular,,Frederick,,,Hagerstown,,,,,,,,,transcript/1915/1915-HES/boxes/BLRI-19150531.txt,"Hanover Evening Sun, June 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFKMPTP,1915-06-05,0,Blue Ridge,regular,,Martinsburg,3,,Hanover,4,,,2:00,,,,,transcript/1915/1915-HES/boxes/BLRI-19150531.txt,"Hanover Evening Sun, June 7, 1915",0,0,3,0,0,0,0,0,0,,,,,,0,0,0,3,0,0,1,0,x,,,,,
