key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14
ZJYRWPR,1912-04-12,0,Texas,regular,,Fort Worth,4,,Austin,11,,,1:55,,,,,data/boxscores/transcript/1912/1912-DMN/DMN-19120413.txt,,1,0,0,1,0,0,0,2,0,,,,,,1,0,0,0,2,5,0,3,x,,,,,
KVRLKDL,1912-04-12,0,Texas,regular,,San Antonio,5,,Beaumont,6,,3000,2:15,,,,,data/boxscores/transcript/1912/1912-DMN/DMN-19120413.txt,,0,2,0,0,1,0,0,0,2,,,,,,0,2,3,0,0,0,0,1,x,,,,,
XQFSNNR,1912-04-12,0,Texas,regular,,Houston,1,,Galveston,0,,,1:43,,,,,data/boxscores/transcript/1912/1912-DMN/DMN-19120413.txt,,1,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,
MJCSFPJ,1912-04-12,0,Texas,regular,,Dallas,2,,Waco,6,,3000,1:50,,,,,data/boxscores/transcript/1912/1912-DMN/DMN-19120413.txt,,0,0,0,0,2,0,0,0,0,,,,,,1,2,0,0,0,0,0,3,x,,,,,
CFYHLJC,1912-04-13,0,Texas,regular,,Fort Worth,2,,Austin,3,,,1:40,,,,,data/boxscores/transcript/1912/1912-DMN/DMN-19120414.txt,,0,0,1,0,0,0,0,1,0,,,,,,0,0,0,0,0,0,2,1,x,,,,,
PVLRSHJ,1912-04-13,0,Texas,regular,,San Antonio,2,,Beaumont,1,,,1:50,,,,,data/boxscores/transcript/1912/1912-DMN/DMN-19120414.txt,,0,0,2,0,0,0,0,0,0,,,,,,0,1,0,0,0,0,0,0,0,,,,,
RYPMVWY,1912-04-13,0,Texas,regular,,Houston,0,,Galveston,1,,,1:44,,,,,data/boxscores/transcript/1912/1912-DMN/DMN-19120414.txt,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,0,0,x,,,,,
GYRJKZN,1912-04-13,0,Texas,regular,,Dallas,4,,Waco,3,,,1:50,,,,,data/boxscores/transcript/1912/1912-DMN/DMN-19120414.txt,,1,0,2,0,0,0,0,1,0,,,,,,1,0,0,0,0,0,0,1,1,,,,,
GMMGZWW,1912-04-14,0,Texas,regular,,Fort Worth,1,,Austin,7,,,1:30,,,,,data/boxscores/transcript/1912/1912-DMN/DMN-19120415.txt,,0,0,0,0,1,0,0,0,0,,,,,,3,0,2,0,0,0,2,0,x,,,,,
DBDDVHX,1912-04-14,0,Texas,regular,,San Antonio,1,,Beaumont,6,,,1:50,,,,,data/boxscores/transcript/1912/1912-DMN/DMN-19120415.txt,,0,0,0,0,0,0,0,1,0,,,,,,1,2,0,1,1,0,1,0,x,,,,,
