key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12
JTWXCDW,1908-06-22,0,Central Kansas,regular,,McPherson,0,,Ellsworth,1,,350,1:25,,,,1,1908/1908-SDU/SDU-19080622.txt,"The Saily Daily Union Jun 23, 1908",0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,
ZZLDDHK,1908-06-22,0,Central Kansas,regular,,Newton,2,,Salina,4,,,1:20,,,,,1908/1908-SDU/SDU-19080622.txt,"The Salina Daily Union Jun 23, 1908",0,0,0,0,0,0,2,0,0,,,,0,0,0,1,0,2,1,0,x,,,
NCVFDYC,1908-06-23,0,Central Kansas,regular,,McPherson,6,,Ellsworth,5,,,1:47,,,,,1908/1908-SDU/SDU-19080622.txt,"The Salina Daily Union Jun 24, 1908",0,0,0,2,1,0,3,0,0,,,,0,0,0,0,0,0,1,4,0,,,
CRYKVMR,1908-06-23,0,Central Kansas,regular,,Little River,1,,Minneapolis,11,,,1:40,,,,,1908/1908-SDU/SDU-19080622.txt,"The Salina Daily Union Jun 24, 1908",0,0,1,0,0,0,0,0,0,,,,7,0,1,1,0,0,0,2,x,,,
VKJDJXM,1908-06-23,0,Central Kansas,regular,,Newton,8,,Salina,6,,,1:40,,,,,1908/1908-SDU/SDU-19080622.txt,"The Salina Daily Union Jun 24, 1908",1,0,0,2,1,0,1,0,3,,,,2,0,0,2,0,2,0,0,0,,,
KYVMRKB,1908-06-24,0,Central Kansas,regular,,McPherson,2,,Ellsworth,5,,,,,,,,1908/1908-SDU/SDU-19080622.txt,"The Salina Daily Union Jun 25, 1908",2,0,0,0,0,0,0,0,0,,,,0,0,0,0,4,1,0,0,x,,,
PBKQKFX,1908-06-24,0,Central Kansas,regular,,Little River,3,,Minneapolis,5,,,,,,,,1908/1908-SDU/SDU-19080622.txt,"The Salina Daily Union Jun 25, 1908",,,,,,,,,,,,,,,,,,,,,,,,
NJVTZSG,1908-06-24,0,Central Kansas,regular,,Newton,2,,Salina,8,,,1:28,,,,,1908/1908-SDU/SDU-19080622.txt,"The Salina Daily Union Jun 25, 1908",,,,,,,,,,,,,,,,,,,,,,,,
KNHBMKD,1908-06-25,0,Central Kansas,regular,,Newton,2,,Ellsworth,6,,,,,,,,1908/1908-SDU/SDU-19080622.txt,"The Salina Daily Union Jun 26, 1908",0,0,0,0,0,0,2,0,0,,,,0,1,0,0,0,3,2,0,x,,,
ZFMNXTD,1908-06-25,0,Central Kansas,regular,,Little River,5,,Salina,8,,,1:42,,,,,1908/1908-SDU/SDU-19080622.txt,"The Salina Daily Union Jun 26, 1908",0,0,3,0,0,0,2,0,0,,,,2,0,0,2,0,2,1,1,x,,,
QDPWLLS,1908-06-26,0,Central Kansas,regular,,Newton,11,,Ellsworth,3,,,,,,,,1908/1908-SDU/SDU-19080622.txt,"The Salina Daily Union Jun 27, 1908",0,2,2,0,2,5,0,0,0,,,,0,0,3,0,0,0,0,0,0,,,
