key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11
VWWLVYB,1915-07-26,0,Western North Carolina,regular,,Gastonia,5,,Lenoir,7,,,,,,,,data/boxscores/transcript/1915/1915-CN/WNC-19150726.txt,"Charlotte News, July 27, 1915",1,0,0,0,1,0,2,0,0,,,3,0,0,1,1,2,0,0,x,,
SQNZGGH,1915-07-26,0,Western North Carolina,regular,,Statesville,7,,Morganton,6,,,,,,,,data/boxscores/transcript/1915/1915-CN/WNC-19150726.txt,"Charlotte News, July 27, 1915",0,0,2,1,0,0,3,1,0,,,1,0,1,0,2,0,1,1,0,,
CMZWRSD,1915-07-27,,Western North Carolina,regular,,Gastonia,9,,Lenoir,1,,,,,,,,data/boxscores/transcript/1915/1915-CN/WNC-19150726.txt,"Charlotte News, July 28, 1915",0,3,4,2,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,,
QXMWKTV,1915-07-27,0,Western North Carolina,regular,,Statesville,0,,Morganton,7,,,,,,,,data/boxscores/transcript/1915/1915-CN/WNC-19150726.txt,"Charlotte News, July 28, 1915",0,0,0,0,0,0,0,0,0,,,4,0,1,2,0,0,0,0,x,,
GFMHGXC,1915-07-28,,Western North Carolina,regular,,Gastonia,5,,Lenoir,6,,,2:35,,,,,data/boxscores/transcript/1915/1915-CN/WNC-19150726.txt,"Charlotte News, July 29, 1915",1,0,0,1,0,1,0,0,1,1,0,0,1,2,0,0,1,0,0,0,1,1
PCGDMRK,1915-07-28,0,Western North Carolina,regular,,Statesville,2,,Morganton,4,,700,,,,,,data/boxscores/transcript/1915/1915-CN/WNC-19150726.txt,"Charlotte News, July 29, 1915",0,0,0,1,0,0,0,0,1,,,0,0,2,1,0,1,0,0,x,,
VFFKYDJ,1915-07-29,0,Western North Carolina,regular,,Morganton,4,,Gastonia,0,,"1,500",1:50,,,,,data/boxscores/transcript/1915/1915-CN/WNC-19150726.txt,"Charlotte News, July 30, 1915",0,0,0,0,1,0,0,0,3,,,0,0,0,0,0,0,0,0,0,,
TBVDBPS,1915-07-29,0,Western North Carolina,regular,,Lenoir,9,,Statesville,6,,485,2:15,,,,,data/boxscores/transcript/1915/1915-CN/WNC-19150726.txt,"Charlotte News, July 30, 1915",3,0,1,0,0,2,4,0,0,,,1,0,4,0,0,1,0,0,0,,
HSXXLTM,1915-07-30,0,Western North Carolina,regular,,Morganton,,,Gastonia,,,"1,200",1:50,,,,1,data/boxscores/transcript/1915/1915-CN/WNC-19150726.txt,"Charlotte News, July 31, 1915",,,,,,,,,,,,,,,,,,,,,,
XWSWRHC,1915-07-30,0,Western North Carolina,regular,,Lenoir,,,Statesville,,,,,,postponed,Statesville refused to play over a player elibility dispute,,data/boxscores/transcript/1915/1915-CN/WNC-19150726.txt,"Charlotte News, July 31, 1915",,,,,,,,,,,,,,,,,,,,,,
