league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1909,Arkansas State League,regular,P1541254,Crotty,,1909-04-23,1909-05-20,15
1909,Arkansas State League,regular,P8178275,McDonald,,1909-04-16,1909-05-22,10
1909,Arkansas State League,regular,P8195348,Osborn,,1909-04-23,1909-05-08,4
1909,Arkansas State League,regular,P4292153,Osborne,,1909-04-27,1909-05-13,9
1909,Arkansas State League,regular,P0087085,Ray,,1909-04-20,1909-04-20,1
1909,Arkansas State League,regular,P9715883,Robinson,,1909-04-20,1909-04-20,1
1909,Arkansas State League,regular,P0947910,Smith,,1909-04-20,1909-05-17,12
1909,Arkansas State League,regular,P9952017,Spencer,,1909-04-17,1909-04-19,3
1909,Southern Association,regular,P4650258,Carpenter,,1909-04-15,1909-05-23,32
1909,Southern Association,regular,P8665110,Cartenter,,1909-05-03,1909-05-03,1
1909,Southern Association,regular,P1022705,Fitzsimmons,,1909-04-15,1909-05-21,31
1909,Southern Association,regular,P3286379,Moran,,1909-04-15,1909-05-23,16
1909,Southern Association,regular,P9916884,O'Brien,,1909-04-15,1909-05-23,30
1909,Southern Association,regular,P6973690,Pfenninger,,1909-04-15,1909-05-22,33
1909,Southern Association,regular,P4805514,Rudderham,,1909-04-15,1909-05-23,31
1909,Southern Association,regular,P4692041,Rudderhm,,1909-04-22,1909-04-22,1
