key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11
XQBSRHF,1910-05-16,0,Central Kansas,regular,,Junction City,0,,Ellsworth,9,,,,,final,,,1910/1910-JCDU/JCDU-19100516.txt,"The Junction City Daily Union May 17, 1910",0,0,0,0,0,0,0,0,0,,,2,0,0,0,6,1,0,0,0,,
KSTKDTS,1910-05-17,0,Central Kansas,regular,,Junction City,4,,Ellsworth,5,,400,1:50,,final,,,1910/1910-JCDU/JCDU-19100516.txt,"The Junction City Daily Union May 18, 1910",2,0,0,0,0,0,2,0,0,,,0,0,0,0,0,1,4,0,x,,
HZNLLBX,1910-05-20,0,Central Kansas,regular,,Salina,5,,Junction City,4,,,,,final,,,1910/1910-JCDU/JCDU-19100516.txt,"The Junction City Daily Union May 21, 1910",1,0,0,0,0,0,1,2,1,,,0,2,0,0,0,0,0,2,0,,
BKDWXVZ,1910-05-23,0,Central Kansas,regular,,Concordia,0,,Junction City,15,,,,,final,,,1910/1910-JCDU/JCDU-19100523.txt,"The Junction City Daily Union May 24, 1910",0,0,0,0,0,0,0,0,0,,,5,4,2,3,0,0,1,0,x,,
KSHLGBZ,1910-05-24,0,Central Kansas,regular,,Concordia,9,,Junction City,4,,,,,final,,,1910/1910-JCDU/JCDU-19100523.txt,"The Junction City Daily Union May 25, 1910",0,2,0,3,4,0,0,0,0,,,0,2,0,0,1,0,0,0,1,,
QFJJPZS,1910-05-28,1,Central Kansas,regular,,Junction City,1,,Beloit,4,,,1:35,,final,,,1910/1910-JCDU/JCDU-19100523.txt,"The Junction City Daily Union May 31, 1910",0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,2,0,2,x,,
GYQJRDF,1910-05-28,2,Central Kansas,regular,,Junction City,9,,Beloit,4,,,1:50,,final,,,1910/1910-JCDU/JCDU-19100523.txt,"The Junction City Daily Union May 31, 1910",2,2,3,0,1,0,1,0,0,,,2,0,0,0,2,0,0,0,0,,
VSLFWLW,1910-05-29,0,Central Kansas,regular,,Manhattan,6,,Junction City,0,,,,,final,,,1910/1910-JCDU/JCDU-19100523.txt,"The Junction City Daily Union May 31, 1910",2,0,0,0,0,4,0,0,0,,,0,0,0,0,0,0,0,0,0,,
XRWQFLQ,1910-06-10,0,Central Kansas,regular,,Junction City,5,,Clay Center,1,,,1:30,,final,,,1910/1910-JCDU/JCDU-19100606.txt,"The Junction City Daily Union Jun 11, 1910",1,2,0,0,1,0,0,1,0,,,0,0,0,0,0,0,0,0,1,,
VTKBJRT,1910-06-11,0,Central Kansas,regular,,Junction City,0,,Clay Center,4,,,1:28,,final,,,1910/1910-JCDU/JCDU-19100606.txt,"The Junction City Daily Union Jun 13, 1910",0,0,0,0,0,0,0,0,0,,,1,0,1,0,0,2,0,0,x,,
BNVZMHY,1910-06-13,1,Central Kansas,regular,,Junction City,2,,Manhattan,5,,,,,final,,,1910/1910-JCDU/JCDU-19100613.txt,"The Junction City Daily Union Jun 14, 1910",0,0,0,0,0,1,1,0,0,,,4,0,0,0,0,1,0,0,x,,
KDLHRDY,1910-06-13,2,Central Kansas,regular,,Junction City,3,,Manhattan,1,,,,,final,,,1910/1910-JCDU/JCDU-19100613.txt,"The Junction City Daily Union Jun 14, 1910",0,0,0,0,1,2,0,0,x,,,0,0,0,0,1,0,0,0,0,,
XVSTKVL,1910-06-17,0,Central Kansas,regular,,Abilene,5,,Junction City,6,,,,,final,,,1910/1910-JCDU/JCDU-19100613.txt,"The Junction City Daily Union Jun 18, 1910",1,0,0,0,0,1,0,0,3,0,,1,1,0,1,0,0,0,0,2,1,
NFTQQBX,1910-06-20,0,Central Kansas,regular,,Beloit,3,,Junction City,9,,,,,final,,,1910/1910-JCDU/JCDU-19100620.txt,"The Junction City Daily Union Jun 21, 1910",0,0,2,0,1,0,0,0,0,,,0,1,2,3,0,3,0,1,x,,
RQKVMYX,1910-06-21,0,Central Kansas,regular,,Beloit,7,,Junction City,4,,,,,final,,,1910/1910-JCDU/JCDU-19100620.txt,"The Junction City Daily Union Jun 22, 1910",0,0,0,2,0,1,0,0,4,,,0,0,0,0,1,2,0,1,0,,
QPSSJKZ,1910-06-22,0,Central Kansas,regular,,Beloit,3,,Junction City,8,,,,,final,,,1910/1910-JCDU/JCDU-19100620.txt,"The Junction City Daily Union Jun 23, 1910",0,0,1,0,0,0,2,0,0,,,0,0,0,1,2,2,0,3,x,,
XHQNZPM,1910-06-26,0,Central Kansas,regular,,Ellsworth,5,,Junction City,3,,,,,final,,,1910/1910-JCDU/JCDU-19100620.txt,"The Junction City Daily Union Jun 27, 1910",3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0
