league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1910,Central Kansas League,regular,P3692115,,,1910-05-24,1910-08-03,10
1910,Central Kansas League,regular,P9825039,Abbott,,1910-06-21,1910-06-22,2
1910,Central Kansas League,regular,P5811609,Ames,,1910-07-04,1910-08-01,2
1910,Central Kansas League,regular,P4216625,Briggs,,1910-05-29,1910-05-29,1
1910,Central Kansas League,regular,P5523380,Casteel,,1910-08-15,1910-08-20,4
1910,Central Kansas League,regular,P1727314,Flaherty,,1910-07-04,1910-07-04,1
1910,Central Kansas League,regular,P4063939,Graham,,1910-06-03,1910-06-27,2
1910,Central Kansas League,regular,P1436780,Hamlin,,1910-05-17,1910-07-05,5
1910,Central Kansas League,regular,P8271195,Hamlin,Fritz,1910-05-16,1910-05-16,1
1910,Central Kansas League,regular,P1794743,Hauserman,,1910-08-01,1910-08-01,1
1910,Central Kansas League,regular,P3016520,Mythen,,1910-06-13,1910-06-13,1
1910,Central Kansas League,regular,P7036050,Mython,,1910-05-20,1910-05-20,1
1910,Central Kansas League,regular,P2880883,Scanlan,,1910-06-17,1910-06-17,1
1910,Central Kansas League,regular,P3624408,Snider,,1910-05-28,1910-05-28,2
1910,Central Kansas League,regular,P3253480,Snyder,,1910-05-23,1910-05-23,1
1910,Central Kansas League,regular,P3763104,Wayman,,1910-06-02,1910-06-11,3
1910,Central Kansas League,regular,P7557586,Whalen,,1910-08-12,1910-08-12,1
1910,Central Kansas League,regular,P4857042,Whelan,,1910-08-11,1910-08-11,1
