game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first
XQBSRHF,1910,Central Kansas League,1910-05-16,0,regular,P8271195,Hamlin,Fritz
KSTKDTS,1910,Central Kansas League,1910-05-17,0,regular,P1436780,Hamlin,
HZNLLBX,1910,Central Kansas League,1910-05-20,0,regular,P7036050,Mython,
BKDWXVZ,1910,Central Kansas League,1910-05-23,0,regular,P3253480,Snyder,
KSHLGBZ,1910,Central Kansas League,1910-05-24,0,regular,P3692115,,
QFJJPZS,1910,Central Kansas League,1910-05-28,1,regular,P3624408,Snider,
GYQJRDF,1910,Central Kansas League,1910-05-28,2,regular,P3624408,Snider,
VSLFWLW,1910,Central Kansas League,1910-05-29,0,regular,P4216625,Briggs,
XRWQFLQ,1910,Central Kansas League,1910-06-10,0,regular,P3763104,Wayman,
VTKBJRT,1910,Central Kansas League,1910-06-11,0,regular,P3763104,Wayman,
BNVZMHY,1910,Central Kansas League,1910-06-13,1,regular,P3016520,Mythen,
KDLHRDY,1910,Central Kansas League,1910-06-13,2,regular,P3692115,,
XVSTKVL,1910,Central Kansas League,1910-06-17,0,regular,P2880883,Scanlan,
NFTQQBX,1910,Central Kansas League,1910-06-20,0,regular,P3692115,,
RQKVMYX,1910,Central Kansas League,1910-06-21,0,regular,P9825039,Abbott,
QPSSJKZ,1910,Central Kansas League,1910-06-22,0,regular,P9825039,Abbott,
XHQNZPM,1910,Central Kansas League,1910-06-26,0,regular,P3692115,,
YPMLLXT,1910,Central Kansas League,1910-06-27,0,regular,P4063939,Graham,
NCFBBVB,1910,Central Kansas League,1910-06-28,0,regular,P3692115,,
WJHDXGJ,1910,Central Kansas League,1910-07-03,0,regular,P1436780,Hamlin,
CJYQJQW,1910,Central Kansas League,1910-07-04,0,regular,P5811609,Ames,
CJYQJQW,1910,Central Kansas League,1910-07-04,0,regular,P1727314,Flaherty,
NDLXFSL,1910,Central Kansas League,1910-07-05,0,regular,P1436780,Hamlin,
NSLGQQN,1910,Central Kansas League,1910-07-08,0,regular,P3692115,,
XXLKQCT,1910,Central Kansas League,1910-07-10,0,regular,P3692115,,
