key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12
MFWMRSC,1912-04-25,0,Carolina Association,regular,,Anderson,5,,Charlotte,3,,2500,2:11,,,,,data/boxscores/transcript/1912/1912-CN/CN-19120425.txt,"The Charlotte News Apr 26, 1912",0,1,0,0,0,0,1,0,3,,,,0,0,0,1,2,0,0,0,0,,,
YNLMYPQ,1912-04-25,0,Carolina Association,regular,,Spartanburg,6,,Greenville,4,,2000,1:50,,,,,data/boxscores/transcript/1912/1912-CN/CN-19120425.txt,"The Charlotte News Apr 26, 1912",0,0,0,0,3,1,1,1,0,,,,0,2,0,0,0,0,1,1,0,,,
FPMGGLF,1912-04-25,0,Carolina Association,regular,,Greensboro,4,,Winston-Salem,6,,2000,1:45,,,,,data/boxscores/transcript/1912/1912-CN/CN-19120425.txt,"The Charlotte News Apr 26, 1909",0,1,3,0,0,0,0,0,0,,,,0,4,0,0,2,0,0,0,x,,,
DBDTTJD,1912-04-26,0,Carolina Association,regular,,Anderson,3,,Charlotte,9,,800,1:57,,,,,data/boxscores/transcript/1912/1912-CN/CN-19120425.txt,"The Charlotte News Apr 27, 1912",0,0,0,0,0,0,2,0,1,,,,3,2,0,0,0,2,2,0,x,,,
VSLCMPD,1912-04-26,0,Carolina Association,regular,,Spartanburg,2,,Greenville,1,,800,1:50,,,,,data/boxscores/transcript/1912/1912-CN/CN-19120425.txt,"The Charlotte News Apr 27, 1912",0,0,0,1,0,1,0,0,0,,,,0,1,0,0,0,0,0,0,0,,,
SPTYBDX,1912-04-26,0,Carolina Association,regular,,Greensboro,5,,Winston-Salem,2,,600,2:05,,,,,data/boxscores/transcript/1912/1912-CN/CN-19120425.txt,"The Charlotte News Apr 27, 1912",2,1,0,0,0,1,0,0,1,,,,0,0,0,0,0,0,0,1,1,,,
LBGCNLW,1912-04-27,0,Carolina Association,regular,,Anderson,1,,Charlotte,0,,1100,1:47,,,,,data/boxscores/transcript/1912/1912-CN/CN-19120425.txt,"The Charlotte News Apr 28, 1912",0,0,0,0,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,0,,,
XJKLKZW,1912-04-27,0,Carolina Association,regular,,Spartanburg,12,,Greenville,5,,600,2:15,,,,,data/boxscores/transcript/1912/1912-CN/CN-19120425.txt,"The Charlotte News Apr 28, 1912",0,0,5,3,0,5,0,0,1,,,,1,0,0,2,0,2,0,0,0,,,
BBXFLSQ,1912-04-27,0,Carolina Association,regular,,Greensboro,6,,Winston-Salem,8,,1200,2:00,,,,,data/boxscores/transcript/1912/1912-CN/CN-19120425.txt,"The Charlotte News Apr 28, 1912",1,0,0,1,1,0,1,2,0,,,,1,1,2,1,0,0,3,0,x,,,
GPYCHLS,1912-04-29,0,Carolina Association,regular,,Charlotte,1,,Greensboro,0,,700,1:40,,,,,data/boxscores/transcript/1912/1912-CN/CN-19120425.txt,"The Charlotte News Apr 30, 1912",0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,,
