game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_GS,P_GF,P_W,P_L,P_SV,P_IP,P_TBF,P_AB,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
FPMGGLF,1912,Carolina Association,1912-04-25,0,regular,P6435313,Rickard,,Greensboro,cf,1,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
FPMGGLF,1912,Carolina Association,1912-04-25,0,regular,P7464576,Ware,,Greensboro,ph,10,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
FPMGGLF,1912,Carolina Association,1912-04-25,0,regular,P3659833,Hauser,,Greensboro,ph,11,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
FPMGGLF,1912,Carolina Association,1912-04-25,0,regular,P8633102,Doyle,,Greensboro,2b,2,4,0,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,4,0,,,,
FPMGGLF,1912,Carolina Association,1912-04-25,0,regular,P9200944,Doak,,Greensboro,3b,3,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,
FPMGGLF,1912,Carolina Association,1912-04-25,0,regular,P0759516,Slater,,Greensboro,lf,4,4,1,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
FPMGGLF,1912,Carolina Association,1912-04-25,0,regular,P0977377,Clapp,,Greensboro,1b,5,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,,,,
FPMGGLF,1912,Carolina Association,1912-04-25,0,regular,P7959208,Loman,,Greensboro,rf,6,4,0,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
FPMGGLF,1912,Carolina Association,1912-04-25,0,regular,P4089332,Titlow,,Greensboro,ss,7,3,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,,,,
FPMGGLF,1912,Carolina Association,1912-04-25,0,regular,P9791444,Stuart,,Greensboro,c,8,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,,,1,
