game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_TBF,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
DZYWYTX,1914,International League,1914-04-21,0,regular,P3145255,Cooper,,Jersey City,rf,1,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
DZYWYTX,1914,International League,1914-04-21,0,regular,P8651950,Bues,,Jersey City,3b,2,3,3,,3,1,1,,,,,,1,,,,,,,,,,,,,,,,1,0,0,,,,
DZYWYTX,1914,International League,1914-04-21,0,regular,P4517063,Hulswitt,Rudy,Jersey City,2b,3,4,0,,3,,1,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,
DZYWYTX,1914,International League,1914-04-21,0,regular,P0843894,Strait,,Jersey City,cf,4,4,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
DZYWYTX,1914,International League,1914-04-21,0,regular,P0228512,Fisher,,Jersey City,lf,5,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
DZYWYTX,1914,International League,1914-04-21,0,regular,P7280191,Barry,,Jersey City,1b,6,4,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,9,0,0,,,,
DZYWYTX,1914,International League,1914-04-21,0,regular,P0966181,Baxter,,Jersey City,ss,7,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,1,,,
DZYWYTX,1914,International League,1914-04-21,0,regular,P9690525,Tee,,Jersey City,c,8,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,7,1,0,1,,,
DZYWYTX,1914,International League,1914-04-21,0,regular,P4633658,Taylor,,Jersey City,p,9,2,1,,1,,,,,,,,1,,,,,,,,,,,1,7,,,,0,2,0,,,,
DZYWYTX,1914,International League,1914-04-21,0,regular,,TOTALS,,Jersey City,,,31,8,,13,,,,,,,,,,,,1,,,,,,,,,,,,27,6,1,,,,
DZYWYTX,1914,International League,1914-04-21,0,regular,P2805802,Malay,,Montreal,lf,1,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
